2013 Federal Election - Senate Senate First Preferences By Polling Place [Event:17496 Generated:2013-11-18T16:00:01]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NT,306,"Lingiari",65681,"Alice Springs PPVC", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", H,23300,1,"WORK, Vernon","Citizens Electoral Council",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", H,23353,2,"STANKOVIC, Mile","Citizens Electoral Council",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", I,25154,0,"I TICKET VOTES","Shooters and Fishers",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", I,23588,1,"GRAHAM, Matt","Shooters and Fishers",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", I,23589,2,"RIGHTON, Christopher James","Shooters and Fishers",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", J,25163,0,"J TICKET VOTES","Rise Up Australia Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", J,24726,1,"PILE, Jan","Rise Up Australia Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", J,24731,2,"COX, Michael","Rise Up Australia Party",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", K,25164,0,"K TICKET VOTES","Australian Greens",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", K,24888,1,"WILLIAMS, Warren H","Australian Greens",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", K,24892,2,"BRAND, Michael","Australian Greens",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", L,25159,0,"L TICKET VOTES","Australian Independents",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", L,23959,1,"WALCOTT, Phil","Australian Independents",0
NT,306,"Lingiari",65681,"Alice Springs PPVC", L,23962,2,"FUTCHER, Lisa","Australian Independents",0
NT,306,"Lingiari",65681,"Alice Springs PPVC",ZZ,0,99,"INFORMAL"," ",0
NT,306,"Lingiari",34264,"Bees Creek", A,25162,0,"A TICKET VOTES","Palmer United Party",101
NT,306,"Lingiari",34264,"Bees Creek", A,24499,1,"TE WAKE, Douglas","Palmer United Party",8
NT,306,"Lingiari",34264,"Bees Creek", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",3
NT,306,"Lingiari",34264,"Bees Creek", B,25160,0,"B TICKET VOTES","Uniting Australia Party",4
NT,306,"Lingiari",34264,"Bees Creek", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",34264,"Bees Creek", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",34264,"Bees Creek", C,25156,0,"C TICKET VOTES","Stable Population Party",0
NT,306,"Lingiari",34264,"Bees Creek", C,23375,1,"MILES, Jim","Stable Population Party",0
NT,306,"Lingiari",34264,"Bees Creek", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",34264,"Bees Creek", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",3
NT,306,"Lingiari",34264,"Bees Creek", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",0
NT,306,"Lingiari",34264,"Bees Creek", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",34264,"Bees Creek", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",610
NT,306,"Lingiari",34264,"Bees Creek", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",24
NT,306,"Lingiari",34264,"Bees Creek", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",5
NT,306,"Lingiari",34264,"Bees Creek", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",266
NT,306,"Lingiari",34264,"Bees Creek", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",14
NT,306,"Lingiari",34264,"Bees Creek", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",15
NT,306,"Lingiari",34264,"Bees Creek", G,25165,0,"G TICKET VOTES","Sex Party",14
NT,306,"Lingiari",34264,"Bees Creek", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",4
NT,306,"Lingiari",34264,"Bees Creek", G,24962,2,"RANDALL, Tracey Lee","Sex Party",1
NT,306,"Lingiari",34264,"Bees Creek", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",1
NT,306,"Lingiari",34264,"Bees Creek", H,23300,1,"WORK, Vernon","Citizens Electoral Council",1
NT,306,"Lingiari",34264,"Bees Creek", H,23353,2,"STANKOVIC, Mile","Citizens Electoral Council",0
NT,306,"Lingiari",34264,"Bees Creek", I,25154,0,"I TICKET VOTES","Shooters and Fishers",80
NT,306,"Lingiari",34264,"Bees Creek", I,23588,1,"GRAHAM, Matt","Shooters and Fishers",8
NT,306,"Lingiari",34264,"Bees Creek", I,23589,2,"RIGHTON, Christopher James","Shooters and Fishers",0
NT,306,"Lingiari",34264,"Bees Creek", J,25163,0,"J TICKET VOTES","Rise Up Australia Party",12
NT,306,"Lingiari",34264,"Bees Creek", J,24726,1,"PILE, Jan","Rise Up Australia Party",2
NT,306,"Lingiari",34264,"Bees Creek", J,24731,2,"COX, Michael","Rise Up Australia Party",1
NT,306,"Lingiari",34264,"Bees Creek", K,25164,0,"K TICKET VOTES","Australian Greens",69
NT,306,"Lingiari",34264,"Bees Creek", K,24888,1,"WILLIAMS, Warren H","Australian Greens",15
NT,306,"Lingiari",34264,"Bees Creek", K,24892,2,"BRAND, Michael","Australian Greens",2
NT,306,"Lingiari",34264,"Bees Creek", L,25159,0,"L TICKET VOTES","Australian Independents",17
NT,306,"Lingiari",34264,"Bees Creek", L,23959,1,"WALCOTT, Phil","Australian Independents",3
NT,306,"Lingiari",34264,"Bees Creek", L,23962,2,"FUTCHER, Lisa","Australian Independents",0
NT,306,"Lingiari",34264,"Bees Creek",ZZ,0,99,"INFORMAL"," ",33
NT,306,"Lingiari",8706,"Berry Springs", A,25162,0,"A TICKET VOTES","Palmer United Party",64
NT,306,"Lingiari",8706,"Berry Springs", A,24499,1,"TE WAKE, Douglas","Palmer United Party",8
NT,306,"Lingiari",8706,"Berry Springs", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",0
NT,306,"Lingiari",8706,"Berry Springs", B,25160,0,"B TICKET VOTES","Uniting Australia Party",1
NT,306,"Lingiari",8706,"Berry Springs", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",8706,"Berry Springs", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",8706,"Berry Springs", C,25156,0,"C TICKET VOTES","Stable Population Party",0
NT,306,"Lingiari",8706,"Berry Springs", C,23375,1,"MILES, Jim","Stable Population Party",1
NT,306,"Lingiari",8706,"Berry Springs", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",8706,"Berry Springs", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",5
NT,306,"Lingiari",8706,"Berry Springs", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",3
NT,306,"Lingiari",8706,"Berry Springs", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",8706,"Berry Springs", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",371
NT,306,"Lingiari",8706,"Berry Springs", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",19
NT,306,"Lingiari",8706,"Berry Springs", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",1
NT,306,"Lingiari",8706,"Berry Springs", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",182
NT,306,"Lingiari",8706,"Berry Springs", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",6
NT,306,"Lingiari",8706,"Berry Springs", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",5
NT,306,"Lingiari",8706,"Berry Springs", G,25165,0,"G TICKET VOTES","Sex Party",19
NT,306,"Lingiari",8706,"Berry Springs", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",5
NT,306,"Lingiari",8706,"Berry Springs", G,24962,2,"RANDALL, Tracey Lee","Sex Party",0
NT,306,"Lingiari",8706,"Berry Springs", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",4
NT,306,"Lingiari",8706,"Berry Springs", H,23300,1,"WORK, Vernon","Citizens Electoral Council",1
NT,306,"Lingiari",8706,"Berry Springs", H,23353,2,"STANKOVIC, Mile","Citizens Electoral Council",0
NT,306,"Lingiari",8706,"Berry Springs", I,25154,0,"I TICKET VOTES","Shooters and Fishers",44
NT,306,"Lingiari",8706,"Berry Springs", I,23588,1,"GRAHAM, Matt","Shooters and Fishers",5
NT,306,"Lingiari",8706,"Berry Springs", I,23589,2,"RIGHTON, Christopher James","Shooters and Fishers",1
NT,306,"Lingiari",8706,"Berry Springs", J,25163,0,"J TICKET VOTES","Rise Up Australia Party",3
NT,306,"Lingiari",8706,"Berry Springs", J,24726,1,"PILE, Jan","Rise Up Australia Party",0
NT,306,"Lingiari",8706,"Berry Springs", J,24731,2,"COX, Michael","Rise Up Australia Party",0
NT,306,"Lingiari",8706,"Berry Springs", K,25164,0,"K TICKET VOTES","Australian Greens",36
NT,306,"Lingiari",8706,"Berry Springs", K,24888,1,"WILLIAMS, Warren H","Australian Greens",16
NT,306,"Lingiari",8706,"Berry Springs", K,24892,2,"BRAND, Michael","Australian Greens",3
NT,306,"Lingiari",8706,"Berry Springs", L,25159,0,"L TICKET VOTES","Australian Independents",13
NT,306,"Lingiari",8706,"Berry Springs", L,23959,1,"WALCOTT, Phil","Australian Independents",2
NT,306,"Lingiari",8706,"Berry Springs", L,23962,2,"FUTCHER, Lisa","Australian Independents",0
NT,306,"Lingiari",8706,"Berry Springs",ZZ,0,99,"INFORMAL"," ",24
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", A,25162,0,"A TICKET VOTES","Palmer United Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", A,24499,1,"TE WAKE, Douglas","Palmer United Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", B,25160,0,"B TICKET VOTES","Uniting Australia Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", C,25156,0,"C TICKET VOTES","Stable Population Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", C,23375,1,"MILES, Jim","Stable Population Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", G,25165,0,"G TICKET VOTES","Sex Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", G,24962,2,"RANDALL, Tracey Lee","Sex Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", H,23300,1,"WORK, Vernon","Citizens Electoral Council",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", H,23353,2,"STANKOVIC, Mile","Citizens Electoral Council",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", I,25154,0,"I TICKET VOTES","Shooters and Fishers",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", I,23588,1,"GRAHAM, Matt","Shooters and Fishers",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", I,23589,2,"RIGHTON, Christopher James","Shooters and Fishers",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", J,25163,0,"J TICKET VOTES","Rise Up Australia Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", J,24726,1,"PILE, Jan","Rise Up Australia Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", J,24731,2,"COX, Michael","Rise Up Australia Party",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", K,25164,0,"K TICKET VOTES","Australian Greens",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", K,24888,1,"WILLIAMS, Warren H","Australian Greens",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", K,24892,2,"BRAND, Michael","Australian Greens",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", L,25159,0,"L TICKET VOTES","Australian Independents",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", L,23959,1,"WALCOTT, Phil","Australian Independents",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC", L,23962,2,"FUTCHER, Lisa","Australian Independents",0
NT,306,"Lingiari",65576,"BLV Lingiari PPVC",ZZ,0,99,"INFORMAL"," ",0
NT,306,"Lingiari",8707,"Braitling", A,25162,0,"A TICKET VOTES","Palmer United Party",41
NT,306,"Lingiari",8707,"Braitling", A,24499,1,"TE WAKE, Douglas","Palmer United Party",4
NT,306,"Lingiari",8707,"Braitling", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",3
NT,306,"Lingiari",8707,"Braitling", B,25160,0,"B TICKET VOTES","Uniting Australia Party",2
NT,306,"Lingiari",8707,"Braitling", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",8707,"Braitling", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",8707,"Braitling", C,25156,0,"C TICKET VOTES","Stable Population Party",2
NT,306,"Lingiari",8707,"Braitling", C,23375,1,"MILES, Jim","Stable Population Party",0
NT,306,"Lingiari",8707,"Braitling", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",8707,"Braitling", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",20
NT,306,"Lingiari",8707,"Braitling", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",5
NT,306,"Lingiari",8707,"Braitling", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",8707,"Braitling", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",468
NT,306,"Lingiari",8707,"Braitling", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",24
NT,306,"Lingiari",8707,"Braitling", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",5
NT,306,"Lingiari",8707,"Braitling", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",268
NT,306,"Lingiari",8707,"Braitling", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",26
NT,306,"Lingiari",8707,"Braitling", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",12
NT,306,"Lingiari",8707,"Braitling", G,25165,0,"G TICKET VOTES","Sex Party",28
NT,306,"Lingiari",8707,"Braitling", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",2
NT,306,"Lingiari",8707,"Braitling", G,24962,2,"RANDALL, Tracey Lee","Sex Party",0
NT,306,"Lingiari",8707,"Braitling", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",1
NT,306,"Lingiari",8707,"Braitling", H,23300,1,"WORK, Vernon","Citizens Electoral Council",0
NT,306,"Lingiari",8707,"Braitling", H,23353,2,"STANKOVIC, Mile","Citizens Electoral Council",0
NT,306,"Lingiari",8707,"Braitling", I,25154,0,"I TICKET VOTES","Shooters and Fishers",12
NT,306,"Lingiari",8707,"Braitling", I,23588,1,"GRAHAM, Matt","Shooters and Fishers",3
NT,306,"Lingiari",8707,"Braitling", I,23589,2,"RIGHTON, Christopher James","Shooters and Fishers",0
NT,306,"Lingiari",8707,"Braitling", J,25163,0,"J TICKET VOTES","Rise Up Australia Party",8
NT,306,"Lingiari",8707,"Braitling", J,24726,1,"PILE, Jan","Rise Up Australia Party",1
NT,306,"Lingiari",8707,"Braitling", J,24731,2,"COX, Michael","Rise Up Australia Party",1
NT,306,"Lingiari",8707,"Braitling", K,25164,0,"K TICKET VOTES","Australian Greens",84
NT,306,"Lingiari",8707,"Braitling", K,24888,1,"WILLIAMS, Warren H","Australian Greens",23
NT,306,"Lingiari",8707,"Braitling", K,24892,2,"BRAND, Michael","Australian Greens",2
NT,306,"Lingiari",8707,"Braitling", L,25159,0,"L TICKET VOTES","Australian Independents",11
NT,306,"Lingiari",8707,"Braitling", L,23959,1,"WALCOTT, Phil","Australian Independents",8
NT,306,"Lingiari",8707,"Braitling", L,23962,2,"FUTCHER, Lisa","Australian Independents",2
NT,306,"Lingiari",8707,"Braitling",ZZ,0,99,"INFORMAL"," ",29
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", A,25162,0,"A TICKET VOTES","Palmer United Party",9
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", A,24499,1,"TE WAKE, Douglas","Palmer United Party",2
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", A,24500,2,"McCABE, John Brian Douglas","Palmer United Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", B,25160,0,"B TICKET VOTES","Uniting Australia Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", B,23793,1,"BELL, Gary","Uniting Australia Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", B,23797,2,"WATT, Kathryn","Uniting Australia Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", C,25156,0,"C TICKET VOTES","Stable Population Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", C,23375,1,"MILES, Jim","Stable Population Party",1
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", C,23423,2,"RUSSELL, Mark","Stable Population Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", D,25161,0,"D TICKET VOTES","A.F.N.P.P.",2
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", D,24015,1,"KUNOTH-MONKS, Rosalie","A.F.N.P.P.",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", D,24020,2,"GADAMBUA, Jeannie","A.F.N.P.P.",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", E,25158,0,"E TICKET VOTES","Country Liberals (NT)",46
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", E,23513,1,"SCULLION, Nigel","Country Liberals (NT)",1
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", E,23514,2,"FAZLDEEN, Linda","Country Liberals (NT)",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", F,25157,0,"F TICKET VOTES","Australian Labor Party (Northern Territory) Branch",27
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", F,23498,1,"PERIS, Nova","Australian Labor Party (Northern Territory) Branch",2
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", F,23503,2,"FOLEY, Rowan","Australian Labor Party (Northern Territory) Branch",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", G,25165,0,"G TICKET VOTES","Sex Party",3
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", G,24958,1,"EDWARDS, Joanne Louise","Sex Party",1
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", G,24962,2,"RANDALL, Tracey Lee","Sex Party",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", H,25155,0,"H TICKET VOTES","Citizens Electoral Council",0
NT,306,"Lingiari",58672,"Casuarina LINGIARI PPVC", H,23300,1,"WORK, Vernon","Citizens Electoral Council",0
